id,term
42QE.,International normalised ratio
42QE0,INR - international normal ratio normal
42QE1,INR - international normal ratio abnormal
XaEJS,INR raised
XaIOO,Target international normalised ratio
XaJel,International normalised ratio deviation from target
XaPBw,International normalised ratio within target range
XaPJW,International normalised ratio using testing strip
XaPfs,International normalised ratio below target range
XaZqW,International normalised ratio above target range
Xaa68,INR percentage time in therapeutic range
